name,year,genre,rating,director,votes
Us II,2019,Horror/Mystery/Thriller,6.8,Jordan Peele,316383
The House That Jack Built,2018,Crime/Drama/Horror,6.8,Lars von Trier,"83,053"
The Babadook,2014,Horror/Mystery,6.8,Jennifer Kent,234393
The Autopsy of Jane Doe,2016,Horror/Mystery/Thriller,6.8,Andr¨¦ ?vredal,127065
Warm Bodies,2013,Comedy/Horror/Romance,6.8,Jonathan Levine,236475
Hellboy,2004,Action/Adventure/Fantasy,6.8,Guillermo del Toro,338908
Odd Thomas,2013,Comedy/Fantasy/Horror,6.8,Stephen Sommers,"55,393"
Exam,2009,Crime/Horror/Mystery,6.8,Stuart Hazeldine,120312
1408,2007,Fantasy/Horror/Mystery,6.8,Mikael H?fstr?m,282365
The Fog,1980,Horror/Thriller,6.8,John Carpenter,"78,302"
Creepshow,1982,Comedy/Fantasy/Horror,6.8,George A. Romero,"50,496"
Ginger Snaps,2000,Drama/Fantasy/Horror,6.8,John Fawcett,"49,563"
The Witches,1990,Adventure/Comedy/Family,6.8,Nicolas Roeg,"52,433"
eXistenZ,1999,Horror/Mystery/Sci-Fi,6.8,David Cronenberg,103653
Dog Soldiers,2002,Action/Horror/Thriller,6.8,Neil Marshall,"62,964"
Dead Calm,1989,Horror/Thriller,6.8,Phillip Noyce,"42,222"
Shin Godzilla,2016,Action/Drama/Horror,6.8,Hideaki Anno,"29,845"
Zombie,1979,Horror,6.8,Lucio Fulci,"29,370"
The Brood,1979,Horror/Sci-Fi,6.8,David Cronenberg,"32,397"
Night of the Living Dead,1990,Horror,6.8,Tom Savini,"43,906"
House on Haunted Hill,1959,Crime/Horror/Mystery,6.8,William Castle,"29,039"
Stonehearst Asylum,2014,Drama/Horror/Mystery,6.8,Brad Anderson,"58,532"
Under the Shadow,2016,Drama/Fantasy/Horror,6.8,Babak Anvari,"28,891"
Dead Snow 2: Red vs. Dead,2014,Action/Comedy/Fantasy,6.8,Tommy Wirkola,"25,807"
Evil Dead Rise,2023,Horror,6.7,Lee Cronin,"78,836"
Suspiria I,2018,Drama/Fantasy/Horror,6.7,Luca Guadagnino,"84,786"
Eden Lake,2008,Horror/Thriller,6.7,James Watkins,"89,408"
Final Destination,2000,Horror/Thriller,6.7,James Wong,266158
Fresh,2022,Horror/Thriller,6.7,Mimi Cave,"63,592"
Zombieland: Double Tap,2019,Action/Comedy/Horror,6.7,Ruben Fleischer,189496
The Devil's Rejects,2005,Crime/Horror/Western,6.7,Rob Zombie,103048
Pandorum,2009,Action/Horror/Mystery,6.7,Christian Alvart,155042
Christine,1983,Horror/Thriller,6.7,John Carpenter,"87,453"
Marrowbone,2017,Adventure/Drama/Horror,6.7,Sergio G. S¨¢nchez,"35,303"
The Gift,2000,Drama/Fantasy/Horror,6.7,Sam Raimi,"72,059"
Blade II,2002,Action/Horror/Sci-Fi,6.7,Guillermo del Toro,225970
High Tension,2003,Horror,6.7,Alexandre Aja,"74,795"
Candyman,1992,Horror/Thriller,6.7,Bernard Rose,"95,591"
Return to Oz,1985,Adventure/Family/Fantasy,6.7,Walter Murch,"28,909"
Saint Maud,2019,Drama/Horror/Mystery,6.7,Rose Glass,"41,913"
From Hell,2001,Horror/Mystery/Thriller,6.7,Albert Hughes,159793
Fear Street: Part Two - 1978,2021,Drama/Horror/Mystery,6.7,Leigh Janiak,"69,358"
Scanners,1981,Horror/Sci-Fi/Thriller,6.7,David Cronenberg,"58,736"
The Exorcism of Emily Rose,2005,Drama/Horror/Thriller,6.7,Scott Derrickson,134571
Summer of 84,2018,Drama/Horror/Mystery,6.7,Fran?ois Simard,"43,321"
Inside,2007,Horror,6.7,Alexandre Bustillo,"42,811"
Trick 'r Treat,2007,Comedy/Horror,6.7,Michael Dougherty,"97,225"
Phenomena,1985,Crime/Horror/Mystery,6.7,Dario Argento,"28,456"
Where the Wild Things Are,2009,Adventure/Drama/Family,6.7,Spike Jonze,106812
Goodnight Mommy,2014,Horror/Mystery/Thriller,6.7,Severin Fiala,"57,113"
Spring I,2014,Horror/Romance/Sci-Fi,6.7,Justin Benson,"29,941"
Tales from the Crypt: Demon Knight,1995,Action/Fantasy/Horror,6.7,Ernest R. Dickerson,"25,144"
Ju-on: The Grudge,2002,Horror,6.7,Takashi Shimizu,"46,324"
Turbo Kid,2015,Action/Adventure/Comedy,6.7,Fran?ois Simard,"28,926"
Cronos,1992,Drama/Fantasy/Horror,6.7,Guillermo del Toro,"31,873"
Housebound,2014,Comedy/Horror/Mystery,6.7,Gerard Johnstone,"36,448"
Dark Water,2002,Drama/Horror/Mystery,6.7,Hideo Nakata,"33,695"
Los ojos de Julia,2010,Horror/Mystery/Thriller,6.7,Guillem Morales,"36,473"
Fido,2006,Comedy/Drama/Horror,6.7,Andrew Currie,"29,699"
X II,2022,Horror/Mystery/Thriller,6.6,Ti West,132694
Scream VI,2023,Horror/Mystery/Thriller,6.6,Matt Bettinelli-Olpin,"81,797"
The Pale Blue Eye,2022,Crime/Horror/Mystery,6.6,Scott Cooper,107713
Bird Box,2018,Horror/Mystery/Sci-Fi,6.6,Susanne Bier,360116
Mother!,2017,Drama/Horror/Mystery,6.6,Darren Aronofsky,236605
Event Horizon,1997,Horror/Sci-Fi/Thriller,6.6,Paul W.S. Anderson,188518
Speak No Evil,2022,Drama/Horror/Thriller,6.6,Christian Tafdrup,"27,616"
Life I,2017,Horror/Sci-Fi/Thriller,6.6,Daniel Espinosa,240377
Resident Evil,2002,Action/Horror/Sci-Fi,6.6,Paul W.S. Anderson,279094
You're Next,2011,Horror/Thriller,6.6,Adam Wingard,104174
The Faculty,1998,Horror/Mystery/Sci-Fi,6.6,Robert Rodriguez,128887
Glass,2019,Drama/Horror/Sci-Fi,6.6,M. Night Shyamalan,254065
Drag Me to Hell,2009,Horror,6.6,Sam Raimi,210357
30 Days of Night,2007,Action/Adventure/Horror,6.6,David Slade,182693
What Lies Beneath,2000,Drama/Horror/Mystery,6.6,Robert Zemeckis,130856
Death Becomes Her,1992,Comedy/Fantasy/Horror,6.6,Robert Zemeckis,124437
Child's Play,1988,Horror/Thriller,6.6,Tom Holland,108877
The Invitation I,2015,Drama/Horror/Mystery,6.6,Karyn Kusama,114221
Happy Death Day,2017,Comedy/Horror/Mystery,6.6,Christopher Landon,151732
Overlord,2018,Action/Horror/Sci-Fi,6.6,Julius Avery,102874
Hush I,2016,Horror/Thriller,6.6,Mike Flanagan,144505
Prince of Darkness,1987,Horror,6.6,John Carpenter,"47,009"
Saw II,2005,Horror/Mystery,6.6,Darren Lynn Bousman,260764
From Beyond,1986,Horror/Sci-Fi,6.6,Stuart Gordon,"28,213"
A Nightmare on Elm Street 3: Dream Warriors,1987,Fantasy/Horror,6.6,Chuck Russell,"85,536"
Hotel Transylvania 2,2015,Animation/Adventure/Comedy,6.6,Genndy Tartakovsky,134482
The Hunger,1983,Drama/Horror,6.6,Tony Scott,"27,761"
The Blob,1988,Horror/Sci-Fi/Thriller,6.6,Chuck Russell,"40,349"
The Loved Ones,2009,Crime/Horror,6.6,Sean Byrne,"42,492"
Psycho II,1983,Crime/Horror/Mystery,6.6,Richard Franklin,"28,989"
May,2002,Comedy/Drama/Horror,6.6,Lucky McKee,"38,779"
Phantasm,1979,Horror/Sci-Fi,6.6,Don Coscarelli,"39,050"
Rare Exports,2010,Adventure/Fantasy/Horror,6.6,Jalmari Helander,"30,491"
The Girl with All the Gifts,2016,Action/Adventure/Drama,6.6,Colm McCarthy,"62,316"
Fear Street: Part Three - 1666,2021,Horror/Mystery,6.6,Leigh Janiak,"57,741"
Demons,1985,Horror,6.6,Lamberto Bava,"25,101"
The Eye,2002,Fantasy/Horror/Mystery,6.6,Danny Pang,"29,645"
Smile V,2022,Horror/Mystery/Thriller,6.5,Parker Finn,130696
Evil Dead,2013,Horror,6.5,Fede Alvarez,187737
It Chapter Two,2019,Drama/Fantasy/Horror,6.5,Andy Muschietti,281137
Gerald's Game,2017,Drama/Horror/Thriller,6.5,Mike Flanagan,117039
The Hunt II,2020,Action/Horror/Thriller,6.5,Craig Zobel,120400
Silent Hill,2006,Horror/Mystery,6.5,Christophe Gans,236727
Antichrist,2009,Drama/Horror/Thriller,6.5,Lars von Trier,131305
Insidious: Chapter 2,2013,Horror/Mystery/Thriller,6.5,James Wan,177423
The Last House on the Left,2009,Horror/Thriller,6.5,Dennis Iliadis,"96,680"
The Night House,2020,Horror/Mystery/Thriller,6.5,David Bruckner,"60,235"
Host II,2020,Horror/Mystery,6.5,Rob Savage,"34,122"
Mandy I,2018,Action/Fantasy/Horror,6.5,Panos Cosmatos,"83,932"
The Girl Next Door,2007,Crime/Drama/Horror,6.5,Gregory Wilson,"27,817"
Titane,2021,Drama/Horror/Sci-Fi,6.5,Julia Ducournau,"50,494"
Slither,2006,Comedy/Horror/Sci-Fi,6.5,James Gunn,"85,847"
The Blair Witch Project,1999,Horror/Mystery,6.5,Daniel Myrick,271349
The Endless I,2017,Drama/Fantasy/Horror,6.5,Justin Benson,"46,030"
Oculus,2013,Horror/Mystery/Thriller,6.5,Mike Flanagan,133932
The Howling,1981,Horror,6.5,Joe Dante,"38,157"
Annabelle: Creation,2017,Horror/Mystery/Thriller,6.5,David F. Sandberg,141513
Possessor,2020,Horror/Mystery/Sci-Fi,6.5,Brandon Cronenberg,"41,017"
Crimson Peak,2015,Drama/Horror/Mystery,6.5,Guillermo del Toro,153040
Halloween I,2018,Crime/Horror/Thriller,6.5,David Gordon Green,160731
